# === PPO_STATS_BEGIN ===
total_completed=2556
best_reward=229.534518
best_reward_ts=2026-01-02 22:26:08
best_reward_run=2026-01-02 22:06:26
best_reward_ep=(29/10000)
best_survival=300.503
best_survival_ts=2026-01-08 16:20:00
best_survival_run=2026-01-08 15:10:41
best_survival_ep=(114/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-30 20:49:12  episodes=10000 eval=False
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(237/10000)	22.791805	19.546	
(238/10000)	27.087530	21.130	
(239/10000)	35.838654	28.655	
(240/10000)	22.914493	19.634	ABORTED

========
[RUN] 2026-01-01 12:51:34  episodes=10000 eval=False
[STATS] total_completed=668 | best_reward=73.494 | best_survival=45.67s
idx	reward	survival_sec	note
(1/10000)	20.102269	22.128	
(2/10000)	18.719777	19.645	
(3/10000)	25.954266	24.002	
(4/10000)	20.394419	20.827	
(5/10000)	22.673820	22.483	
(6/10000)	25.764871	21.086	
(7/10000)	25.894530	22.295	
(8/10000)	28.743333	24.492	
(9/10000)	29.775628	23.598	
(10/10000)	42.321540	29.845	
(11/10000)	26.391788	20.498	
(12/10000)	25.630397	23.742	
(13/10000)	26.940167	23.289	
(14/10000)	31.992234	25.457	
(15/10000)	46.694934	30.653	
(16/10000)	28.697258	22.857	
(17/10000)	18.407307	19.810	
(18/10000)	31.309033	24.906	
(19/10000)	29.481879	22.954	
(20/10000)	18.387919	16.868	
(21/10000)	20.251691	18.951	
(22/10000)	42.863925	29.238	
(23/10000)	44.515811	31.121	
(24/10000)	26.077829	21.440	
(25/10000)	59.864064	40.194	
(26/10000)	30.501141	24.794	
(27/10000)	28.500000	21.742	
(28/10000)	30.048796	22.174	
(29/10000)	41.251023	29.013	
(30/10000)	30.359610	26.187	
(31/10000)	42.216202	30.799	
(32/10000)	42.383299	30.833	
(33/10000)	31.289631	24.827	
(34/10000)	39.552025	27.133	
(35/10000)	71.679840	44.578	
(36/10000)	29.597216	21.369	
(37/10000)	31.309687	25.123	
