# === PPO_STATS_BEGIN ===
total_completed=704
best_reward=127.243046
best_reward_ts=2025-12-23 17:12:27
best_reward_run=2025-12-23 16:07:56
best_reward_ep=(116/10000)
best_survival=45.298
best_survival_ts=2025-12-24 14:02:57
best_survival_run=2025-12-24 12:51:09
best_survival_ep=(133/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-23 15:21:32  episodes=1
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(56/10000)	51.255658	21.065	
(57/10000)	81.323080	32.574	
(58/10000)	52.180646	21.012	
(59/10000)	61.371540	26.042	
(60/10000)	61.099973	23.931	
(61/10000)	49.737886	21.513	
(62/10000)	59.396440	24.006	
(63/10000)	62.684944	24.118	
(64/10000)	57.292839	23.202	
(65/10000)	59.824175	24.799	
(66/10000)	48.777765	20.488	
(67/10000)	48.774216	21.253	
(68/10000)	65.539318	27.029	
(69/10000)	63.197725	24.137	
(70/10000)	68.071706	26.022	
(71/10000)	57.860640	22.473	
(72/10000)	61.940546	24.235	
(73/10000)	57.015827	22.712	
(74/10000)	70.359317	27.881	
(75/10000)	43.201015	19.052	
(76/10000)	48.174994	20.279	
(77/10000)	50.500000	19.835	
(78/10000)	47.000000	18.714	
(79/10000)	57.800000	23.308	
(80/10000)	44.688191	19.413	
(81/10000)	56.900000	23.196	
(82/10000)	98.956180	37.743	
(83/10000)	60.423385	24.345	
(84/10000)	49.300000	20.310	
(85/10000)	66.194761	25.283	
(86/10000)	55.035299	23.725	
(87/10000)	102.088107	39.142	
(88/10000)	82.638810	32.329	
(89/10000)	56.596468	21.962	
(90/10000)	53.153740	21.784	
(91/10000)	57.848367	23.427	
(92/10000)	58.699920	22.723	
(93/10000)	67.397793	25.661	
(94/10000)	45.690708	18.955	
(95/10000)	68.423936	27.554	
(96/10000)	67.097801	26.613	
(97/10000)	51.887310	21.306	
(98/10000)	45.900000	19.072	
(99/10000)	43.057038	19.912	
(100/10000)	84.578721	32.700	
(101/10000)	61.420801	25.407	
(102/10000)	64.194762	24.622	
(103/10000)	49.493851	20.271	
(104/10000)	49.818368	20.440	
(105/10000)	45.744724	19.592	
(106/10000)	47.527097	19.066	
(107/10000)	50.670007	20.998	
(108/10000)	63.974685	25.502	
(109/10000)	54.283542	22.860	
